"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "XML", "TypeScript", "Markdown", "CSS", "comment", "blank", "total"
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/ar.svg", "XML", 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 33
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/as.svg", "XML", 0, 0, 0, 0, 72, 0, 0, 0, 0, 1, 73
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/at.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/au.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/aw.svg", "XML", 0, 0, 0, 0, 186, 0, 0, 0, 0, 1, 187
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/az.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/ba.svg", "XML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/bb.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/bd.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/be.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/bf.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/bg.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/bh.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/bi.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/bj.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/bl.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/bm.svg", "XML", 0, 0, 0, 0, 97, 0, 0, 0, 0, 1, 98
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/bn.svg", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 37
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/bo.svg", "XML", 0, 0, 0, 0, 676, 0, 0, 0, 0, 1, 677
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/br.svg", "XML", 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 46
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/bs.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/bt.svg", "XML", 0, 0, 0, 0, 89, 0, 0, 0, 0, 1, 90
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/bw.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/by.svg", "XML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/bz.svg", "XML", 0, 0, 0, 0, 145, 0, 0, 0, 0, 1, 146
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/ca.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/cc.svg", "XML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
